[CONFIG] STEP6.1
STEP1_CSV:             /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step1/pdb/pdb_assemblies.csv | exists=True
STEP5_REMAP_CSV:       /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/pdb_assemblies_remapped.csv | exists=True
STEP5_CHAIN_MAP_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/chain_map.csv | exists=True
STEP5_PDB_DIR:         /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/1_mhc_configured | exists=True
ORIGINAL_LIST_CSV:     /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_list.csv | exists=True
ORIGINAL_CONTACTS_CSV: /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_mhc_contacts.csv | exists=True
ORIGINAL_BINDER_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_binder_contacts.csv | exists=True
MANUAL_LIGANDS_CSV:    /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/manual_problematic_ligands.csv | exists=True
POSSIBLE_LIGANDS_CSV:  /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/possible_ligands.csv | exists=True
Output dir:            /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc

[INIT] problematic_list_current.csv
[INIT] problematic_mhc_contacts_current.csv
[INIT] problematic_binder_contacts_current.csv
[CSV] remapped=      1173
[CSV] duplicate_pdbs= 9
[CSV] problematic=   165
[CSV] mhc_contacts=  164
[CSV] binder_auto=   5
[CSV] manual_rows=   22

[START] STEP6.1
[SAVED] 8RLV: non-problematic trimmed; trimmed_removed=134; output=8rlv_trimmed_mhc.pdb
[SAVED] 7NMG: non-problematic trimmed; trimmed_removed=138; output=7nmg_trimmed_mhc.pdb
[SAVED] 2BCK: non-problematic trimmed; trimmed_removed=144; output=2bck_trimmed_mhc.pdb
[SAVED] 2RFX: non-problematic trimmed; trimmed_removed=231; output=2rfx_trimmed_mhc.pdb
[SAVED] 6UJ9: non-problematic trimmed; trimmed_removed=107; output=6uj9_trimmed_mhc.pdb
[SAVED] 8EK5: non-problematic trimmed; trimmed_removed=238; output=8ek5_trimmed_mhc.pdb
[SAVED] 2BNR: non-problematic trimmed; trimmed_removed=254; output=2bnr_trimmed_mhc.pdb
[SAVED] 1AGE: non-problematic trimmed; trimmed_removed=351; output=1age_trimmed_mhc.pdb
[SAVED] 7QPJ: non-problematic trimmed; trimmed_removed=292; output=7qpj_trimmed_mhc.pdb
[SAVED] 5EUO: non-problematic trimmed; trimmed_removed=122; output=5euo_trimmed_mhc.pdb
[SAVED] 3FT3: non-problematic trimmed; trimmed_removed=204; output=3ft3_trimmed_mhc.pdb
[SAVED] 3MRH: non-problematic trimmed; trimmed_removed=102; output=3mrh_trimmed_mhc.pdb
[SAVED] 7Q9B: non-problematic trimmed; trimmed_removed=107; output=7q9b_trimmed_mhc.pdb
[SAVED] 5N1Y: non-problematic trimmed; trimmed_removed=312; output=5n1y_trimmed_mhc.pdb
[SAVED] 6UJO: non-problematic trimmed; trimmed_removed=183; output=6ujo_trimmed_mhc.pdb
[SAVED] 4GKS: non-problematic trimmed; trimmed_removed=135; output=4gks_trimmed_mhc.pdb
[SAVED] 6VB6: non-problematic trimmed; trimmed_removed=324; output=6vb6_trimmed_mhc.pdb
[SAVED] 3L3J: non-problematic trimmed; trimmed_removed=167; output=3l3j_trimmed_mhc.pdb
[MHC_MANUAL] 7SR5: moved ligand groups to chains=['C']
[SAVED] 7SR5: action=move; new_ligand_chains=['C']; moved=12; trimmed_removed=275; output=7sr5_trimmed_mhc.pdb
[SAVED] 5EOT: non-problematic trimmed; trimmed_removed=204; output=5eot_trimmed_mhc.pdb
[SAVED] 7SIF: non-problematic trimmed; trimmed_removed=268; output=7sif_trimmed_mhc.pdb
[SAVED] 5MEP: non-problematic trimmed; trimmed_removed=127; output=5mep_trimmed_mhc.pdb
[SAVED] 4QRS: non-problematic trimmed; trimmed_removed=515; output=4qrs_trimmed_mhc.pdb
[SAVED] 6IEX: non-problematic trimmed; trimmed_removed=171; output=6iex_trimmed_mhc.pdb
[SAVED] 3KYN: non-problematic trimmed; trimmed_removed=174; output=3kyn_trimmed_mhc.pdb
[SAVED] 4HWZ: non-problematic trimmed; trimmed_removed=241; output=4hwz_trimmed_mhc.pdb
[SAVED] 7MJ8: non-problematic trimmed; trimmed_removed=293; output=7mj8_trimmed_mhc.pdb
[SAVED] 3BHB: non-problematic trimmed; trimmed_removed=186; output=3bhb_trimmed_mhc.pdb
[SAVED] 8RNH: non-problematic trimmed; trimmed_removed=284; output=8rnh_trimmed_mhc.pdb
[SAVED] 6SS7: non-problematic trimmed; trimmed_removed=189; output=6ss7_trimmed_mhc.pdb
[SAVED] 6P2F: non-problematic trimmed; trimmed_removed=289; output=6p2f_trimmed_mhc.pdb
[SAVED] 5FA3: non-problematic trimmed; trimmed_removed=289; output=5fa3_trimmed_mhc.pdb
[SAVED] 3KPP: non-problematic trimmed; trimmed_removed=455; output=3kpp_trimmed_mhc.pdb
[SAVED] 8UDR: non-problematic trimmed; trimmed_removed=95; output=8udr_trimmed_mhc.pdb
[SAVED] 4MJI: non-problematic trimmed; trimmed_removed=96; output=4mji_trimmed_mhc.pdb
[SAVED] 7N2O: non-problematic trimmed; trimmed_removed=116; output=7n2o_trimmed_mhc.pdb
[SAVED] 1I7U: non-problematic trimmed; trimmed_removed=243; output=1i7u_trimmed_mhc.pdb
[SAVED] 8SBL: non-problematic trimmed; trimmed_removed=96; output=8sbl_trimmed_mhc.pdb
[SAVED] 3LKO: non-problematic trimmed; trimmed_removed=275; output=3lko_trimmed_mhc.pdb
[SAVED] 3RL1: non-problematic trimmed; trimmed_removed=379; output=3rl1_trimmed_mhc.pdb
[SAVED] 3HG1: non-problematic trimmed; trimmed_removed=116; output=3hg1_trimmed_mhc.pdb
[SAVED] 4NNY: non-problematic trimmed; trimmed_removed=321; output=4nny_trimmed_mhc.pdb
[SAVED] 3VXM: non-problematic trimmed; trimmed_removed=206; output=3vxm_trimmed_mhc.pdb
[SAVED] 1I7R: non-problematic trimmed; trimmed_removed=129; output=1i7r_trimmed_mhc.pdb
[SAVED] 5C0E: non-problematic trimmed; trimmed_removed=404; output=5c0e_trimmed_mhc.pdb
[SAVED] 6UZP: non-problematic trimmed; trimmed_removed=317; output=6uzp_trimmed_mhc.pdb
[SAVED] 5W67: non-problematic trimmed; trimmed_removed=252; output=5w67_trimmed_mhc.pdb
[SAVED] 7SU9: non-problematic trimmed; trimmed_removed=208; output=7su9_trimmed_mhc.pdb
[SAVED] 6VB5: non-problematic trimmed; trimmed_removed=346; output=6vb5_trimmed_mhc.pdb
[SAVED] 4JRY: non-problematic trimmed; trimmed_removed=116; output=4jry_trimmed_mhc.pdb
[SAVED] 2HJL: non-problematic trimmed; trimmed_removed=415; output=2hjl_trimmed_mhc.pdb
[SAVED] 3LKN: non-problematic trimmed; trimmed_removed=221; output=3lkn_trimmed_mhc.pdb
[SAVED] 2JCC: non-problematic trimmed; trimmed_removed=104; output=2jcc_trimmed_mhc.pdb
[SAVED] 6ULK: non-problematic trimmed; trimmed_removed=191; output=6ulk_trimmed_mhc.pdb
[SAVED] 3MRG: non-problematic trimmed; trimmed_removed=483; output=3mrg_trimmed_mhc.pdb
[SAVED] 7MJ6: non-problematic trimmed; trimmed_removed=279; output=7mj6_trimmed_mhc.pdb
[SAVED] 3MV9: non-problematic trimmed; trimmed_removed=110; output=3mv9_trimmed_mhc.pdb
[SAVED] 6XQA: non-problematic trimmed; trimmed_removed=273; output=6xqa_trimmed_mhc.pdb
[SAVED] 8TUB: non-problematic trimmed; trimmed_removed=212; output=8tub_trimmed_mhc.pdb
[SAVED] 5C0F: non-problematic trimmed; trimmed_removed=438; output=5c0f_trimmed_mhc.pdb
[SAVED] 3MRP: non-problematic trimmed; trimmed_removed=192; output=3mrp_trimmed_mhc.pdb
[SAVED] 4U6X: non-problematic trimmed; trimmed_removed=372; output=4u6x_trimmed_mhc.pdb
[SAVED] 3MRO: non-problematic trimmed; trimmed_removed=117; output=3mro_trimmed_mhc.pdb
[SAVED] 5WMO: non-problematic trimmed; trimmed_removed=578; output=5wmo_trimmed_mhc.pdb
[SAVED] 5C0D: non-problematic trimmed; trimmed_removed=452; output=5c0d_trimmed_mhc.pdb
[SAVED] 3GSV: non-problematic trimmed; trimmed_removed=197; output=3gsv_trimmed_mhc.pdb
[SAVED] 3UTQ: non-problematic trimmed; trimmed_removed=476; output=3utq_trimmed_mhc.pdb
[SAVED] 1JF1: non-problematic trimmed; trimmed_removed=312; output=1jf1_trimmed_mhc.pdb
[SAVED] 2BNQ: non-problematic trimmed; trimmed_removed=249; output=2bnq_trimmed_mhc.pdb
[SAVED] 3QFD: non-problematic trimmed; trimmed_removed=362; output=3qfd_trimmed_mhc.pdb
[SAVED] 3BH9: non-problematic trimmed; trimmed_removed=327; output=3bh9_trimmed_mhc.pdb
[SAVED] 6VMX: non-problematic trimmed; trimmed_removed=116; output=6vmx_trimmed_mhc.pdb
[SAVED] 4MJ6: non-problematic trimmed; trimmed_removed=157; output=4mj6_trimmed_mhc.pdb
[SAVED] 6UZO: non-problematic trimmed; trimmed_removed=298; output=6uzo_trimmed_mhc.pdb
[SAVED] 1N2R: non-problematic trimmed; trimmed_removed=436; output=1n2r_trimmed_mhc.pdb
[SAVED] 7Q99: non-problematic trimmed; trimmed_removed=113; output=7q99_trimmed_mhc.pdb
[SAVED] 8EMJ: non-problematic trimmed; trimmed_removed=417; output=8emj_trimmed_mhc.pdb
[SAVED] 5TEZ: non-problematic trimmed; trimmed_removed=341; output=5tez_trimmed_mhc.pdb
[SAVED] 3FQN: non-problematic trimmed; trimmed_removed=450; output=3fqn_trimmed_mhc.pdb
[MHC_MANUAL] 7SR0: moved ligand groups to chains=['C']
[SAVED] 7SR0: action=move; new_ligand_chains=['C']; moved=11; trimmed_removed=225; output=7sr0_trimmed_mhc.pdb
[SAVED] 3VFR: non-problematic trimmed; trimmed_removed=437; output=3vfr_trimmed_mhc.pdb
[SAVED] 7N2S: non-problematic trimmed; trimmed_removed=100; output=7n2s_trimmed_mhc.pdb
[SAVED] 2HN7: non-problematic trimmed; trimmed_removed=479; output=2hn7_trimmed_mhc.pdb
[SAVED] 3OXS: non-problematic trimmed; trimmed_removed=391; output=3oxs_trimmed_mhc.pdb
[SAVED] 3O3A: non-problematic trimmed; trimmed_removed=322; output=3o3a_trimmed_mhc.pdb
[SAVED] 6OPD: non-problematic trimmed; trimmed_removed=379; output=6opd_trimmed_mhc.pdb
[SAVED] 6AMU: non-problematic trimmed; trimmed_removed=235; output=6amu_trimmed_mhc.pdb
[SAVED] 6EWO: non-problematic trimmed; trimmed_removed=153; output=6ewo_trimmed_mhc.pdb
[SAVED] 4I48: non-problematic trimmed; trimmed_removed=97; output=4i48_trimmed_mhc.pdb
[SAVED] 5IND: non-problematic trimmed; trimmed_removed=227; output=5ind_trimmed_mhc.pdb
[SAVED] 3KLA: non-problematic trimmed; trimmed_removed=698; output=3kla_trimmed_mhc.pdb
[SAVED] 3BWA: non-problematic trimmed; trimmed_removed=515; output=3bwa_trimmed_mhc.pdb
[SAVED] 6BXQ: non-problematic trimmed; trimmed_removed=387; output=6bxq_trimmed_mhc.pdb
[SAVED] 6O9B: non-problematic trimmed; trimmed_removed=226; output=6o9b_trimmed_mhc.pdb
[SAVED] 4WJ5: non-problematic trimmed; trimmed_removed=283; output=4wj5_trimmed_mhc.pdb
[MHC_MANUAL] 7SR3: moved ligand groups to chains=['C']
[SAVED] 7SR3: action=move; new_ligand_chains=['C']; moved=14; trimmed_removed=203; output=7sr3_trimmed_mhc.pdb
[SAVED] 4QRP: non-problematic trimmed; trimmed_removed=97; output=4qrp_trimmed_mhc.pdb
[SAVED] 5EU6: non-problematic trimmed; trimmed_removed=205; output=5eu6_trimmed_mhc.pdb
[SAVED] 5INC: non-problematic trimmed; trimmed_removed=99; output=5inc_trimmed_mhc.pdb
[SAVED] 9BL2: non-problematic trimmed; trimmed_removed=226; output=9bl2_trimmed_mhc.pdb
[SAVED] 7X1C: non-problematic trimmed; trimmed_removed=482; output=7x1c_trimmed_mhc.pdb
[SAVED] 3MRK: non-problematic trimmed; trimmed_removed=324; output=3mrk_trimmed_mhc.pdb
[SAVED] 8ESH: non-problematic trimmed; trimmed_removed=123; output=8esh_trimmed_mhc.pdb
[SAVED] 5VWJ: non-problematic trimmed; trimmed_removed=427; output=5vwj_trimmed_mhc.pdb
[SAVED] 4PR5: non-problematic trimmed; trimmed_removed=467; output=4pr5_trimmed_mhc.pdb
[SAVED] 1X7Q: non-problematic trimmed; trimmed_removed=500; output=1x7q_trimmed_mhc.pdb
[SAVED] 3LKP: non-problematic trimmed; trimmed_removed=258; output=3lkp_trimmed_mhc.pdb
[SAVED] 6SS8: non-problematic trimmed; trimmed_removed=174; output=6ss8_trimmed_mhc.pdb
[SAVED] 3VXO: non-problematic trimmed; trimmed_removed=171; output=3vxo_trimmed_mhc.pdb
[SAVED] 8RNE: non-problematic trimmed; trimmed_removed=283; output=8rne_trimmed_mhc.pdb
[SAVED] 6VB4: non-problematic trimmed; trimmed_removed=280; output=6vb4_trimmed_mhc.pdb
[SAVED] 6VIU: non-problematic trimmed; trimmed_removed=279; output=6viu_trimmed_mhc.pdb
[SAVED] 3MRE: non-problematic trimmed; trimmed_removed=575; output=3mre_trimmed_mhc.pdb
[DUPLICATES] 9DL1: removed_chains=['C']
[SAVED] 9DL1: non-problematic trimmed; trimmed_removed=211; output=9dl1_trimmed_mhc.pdb
[SAVED] 2AXG: non-problematic trimmed; trimmed_removed=336; output=2axg_trimmed_mhc.pdb
[SAVED] 3QZW: non-problematic trimmed; trimmed_removed=138; output=3qzw_trimmed_mhc.pdb
[SAVED] 6AT5: non-problematic trimmed; trimmed_removed=717; output=6at5_trimmed_mhc.pdb
[SAVED] 3TO2: non-problematic trimmed; trimmed_removed=156; output=3to2_trimmed_mhc.pdb
[SAVED] 1MI5: non-problematic trimmed; trimmed_removed=169; output=1mi5_trimmed_mhc.pdb
[SAVED] 3FQR: non-problematic trimmed; trimmed_removed=464; output=3fqr_trimmed_mhc.pdb
[SAVED] 7YG3: non-problematic trimmed; trimmed_removed=554; output=7yg3_trimmed_mhc.pdb
[SAVED] 8XKE: non-problematic trimmed; trimmed_removed=223; output=8xke_trimmed_mhc.pdb
[SAVED] 3KPQ: non-problematic trimmed; trimmed_removed=503; output=3kpq_trimmed_mhc.pdb
[MHC_MANUAL] 6VQZ: moved ligand groups to chains=['D']
[SAVED] 6VQZ: action=move; new_ligand_chains=['D']; moved=1; trimmed_removed=146; output=6vqz_trimmed_mhc.pdb
[MHC_MANUAL] 7SR4: moved ligand groups to chains=['C']
[SAVED] 7SR4: action=move; new_ligand_chains=['C']; moved=14; trimmed_removed=189; output=7sr4_trimmed_mhc.pdb
[SAVED] 6MT5: non-problematic trimmed; trimmed_removed=686; output=6mt5_trimmed_mhc.pdb
[SAVED] 3KYO: non-problematic trimmed; trimmed_removed=437; output=3kyo_trimmed_mhc.pdb
[SAVED] 1K5N: non-problematic trimmed; trimmed_removed=773; output=1k5n_trimmed_mhc.pdb
[SAVED] 4JFD: non-problematic trimmed; trimmed_removed=133; output=4jfd_trimmed_mhc.pdb
[SAVED] 7MLE: non-problematic trimmed; trimmed_removed=308; output=7mle_trimmed_mhc.pdb
[SAVED] 7N2P: non-problematic trimmed; trimmed_removed=111; output=7n2p_trimmed_mhc.pdb
[SAVED] 6EQA: non-problematic trimmed; trimmed_removed=96; output=6eqa_trimmed_mhc.pdb
[SAVED] 3MRF: non-problematic trimmed; trimmed_removed=209; output=3mrf_trimmed_mhc.pdb
[SAVED] 8EMF: non-problematic trimmed; trimmed_removed=412; output=8emf_trimmed_mhc.pdb
[SAVED] 3DX6: non-problematic trimmed; trimmed_removed=444; output=3dx6_trimmed_mhc.pdb
[SAVED] 3MRR: non-problematic trimmed; trimmed_removed=277; output=3mrr_trimmed_mhc.pdb
[SAVED] 3VXR: non-problematic trimmed; trimmed_removed=173; output=3vxr_trimmed_mhc.pdb
[SKIPPED] 8RH6: already present in 2_trimmed_mhc
[SAVED] 3MYJ: non-problematic trimmed; trimmed_removed=242; output=3myj_trimmed_mhc.pdb
[SAVED] 3MRD: non-problematic trimmed; trimmed_removed=273; output=3mrd_trimmed_mhc.pdb
[SAVED] 5MEO: non-problematic trimmed; trimmed_removed=345; output=5meo_trimmed_mhc.pdb
[SAVED] 7XF3: non-problematic trimmed; trimmed_removed=394; output=7xf3_trimmed_mhc.pdb
[SAVED] 5VUD: non-problematic trimmed; trimmed_removed=431; output=5vud_trimmed_mhc.pdb
[SAVED] 5T6Z: non-problematic trimmed; trimmed_removed=385; output=5t6z_trimmed_mhc.pdb
[SAVED] 1AGB: non-problematic trimmed; trimmed_removed=328; output=1agb_trimmed_mhc.pdb
[SAVED] 7N1A: non-problematic trimmed; trimmed_removed=283; output=7n1a_trimmed_mhc.pdb
[SAVED] 6O51: non-problematic trimmed; trimmed_removed=431; output=6o51_trimmed_mhc.pdb
[SAVED] 3AM8: non-problematic trimmed; trimmed_removed=124; output=3am8_trimmed_mhc.pdb
[SAVED] 5EU5: non-problematic trimmed; trimmed_removed=276; output=5eu5_trimmed_mhc.pdb
[SAVED] 6BJ3: non-problematic trimmed; trimmed_removed=209; output=6bj3_trimmed_mhc.pdb
[SAVED] 5NMH: non-problematic trimmed; trimmed_removed=434; output=5nmh_trimmed_mhc.pdb
[SAVED] 2FZ3: non-problematic trimmed; trimmed_removed=249; output=2fz3_trimmed_mhc.pdb
[MHC_MANUAL] 6VQY: moved ligand groups to chains=['D']
[SAVED] 6VQY: action=move; new_ligand_chains=['D']; moved=1; trimmed_removed=136; output=6vqy_trimmed_mhc.pdb
[MHC_MANUAL] 6TDO: moved ligand groups to chains=['C']
[SAVED] 6TDO: action=move; new_ligand_chains=['C']; moved=2; trimmed_removed=485; output=6tdo_trimmed_mhc.pdb
[SAVED] 2V2X: non-problematic trimmed; trimmed_removed=524; output=2v2x_trimmed_mhc.pdb
[SAVED] 6RPB: non-problematic trimmed; trimmed_removed=112; output=6rpb_trimmed_mhc.pdb
[SAVED] 5EO0: non-problematic trimmed; trimmed_removed=455; output=5eo0_trimmed_mhc.pdb
[SAVED] 3QDM: non-problematic trimmed; trimmed_removed=109; output=3qdm_trimmed_mhc.pdb
[SAVED] 8RNF: non-problematic trimmed; trimmed_removed=371; output=8rnf_trimmed_mhc.pdb
[SAVED] 4L3E: non-problematic trimmed; trimmed_removed=99; output=4l3e_trimmed_mhc.pdb
[SAVED] 3MRN: non-problematic trimmed; trimmed_removed=158; output=3mrn_trimmed_mhc.pdb
[SAVED] 4HX1: non-problematic trimmed; trimmed_removed=378; output=4hx1_trimmed_mhc.pdb
[SAVED] 6JTO: non-problematic trimmed; trimmed_removed=521; output=6jto_trimmed_mhc.pdb
[SAVED] 4NT6: non-problematic trimmed; trimmed_removed=393; output=4nt6_trimmed_mhc.pdb
[SAVED] 3GIV: non-problematic trimmed; trimmed_removed=318; output=3giv_trimmed_mhc.pdb
[SAVED] 4WU7: non-problematic trimmed; trimmed_removed=168; output=4wu7_trimmed_mhc.pdb
[SAVED] 6VMC: non-problematic trimmed; trimmed_removed=103; output=6vmc_trimmed_mhc.pdb
[SAVED] 8ELH: non-problematic trimmed; trimmed_removed=334; output=8elh_trimmed_mhc.pdb
[SAVED] 1AGC: non-problematic trimmed; trimmed_removed=388; output=1agc_trimmed_mhc.pdb
[SAVED] 6AVG: non-problematic trimmed; trimmed_removed=178; output=6avg_trimmed_mhc.pdb
[SAVED] 3D25: non-problematic trimmed; trimmed_removed=358; output=3d25_trimmed_mhc.pdb
[SAVED] 3SPV: non-problematic trimmed; trimmed_removed=478; output=3spv_trimmed_mhc.pdb
[SAVED] 4U1M: non-problematic trimmed; trimmed_removed=524; output=4u1m_trimmed_mhc.pdb
[SAVED] 4PRI: non-problematic trimmed; trimmed_removed=118; output=4pri_trimmed_mhc.pdb
[SAVED] 5C0J: non-problematic trimmed; trimmed_removed=195; output=5c0j_trimmed_mhc.pdb
[SAVED] 1DUZ: non-problematic trimmed; trimmed_removed=298; output=1duz_trimmed_mhc.pdb
[SAVED] 1A1O: non-problematic trimmed; trimmed_removed=177; output=1a1o_trimmed_mhc.pdb
[SAVED] 6V2Q: non-problematic trimmed; trimmed_removed=553; output=6v2q_trimmed_mhc.pdb
[SAVED] 7OW3: non-problematic trimmed; trimmed_removed=139; output=7ow3_trimmed_mhc.pdb
[SAVED] 7TUC: non-problematic trimmed; trimmed_removed=432; output=7tuc_trimmed_mhc.pdb
[SAVED] 5C0A: non-problematic trimmed; trimmed_removed=117; output=5c0a_trimmed_mhc.pdb
[SAVED] 8V51: non-problematic trimmed; trimmed_removed=218; output=8v51_trimmed_mhc.pdb
[SAVED] 8RJH: non-problematic trimmed; trimmed_removed=111; output=8rjh_trimmed_mhc.pdb
[SAVED] 1TVB: non-problematic trimmed; trimmed_removed=412; output=1tvb_trimmed_mhc.pdb
[SAVED] 2GIT: non-problematic trimmed; trimmed_removed=344; output=2git_trimmed_mhc.pdb
[SAVED] 5F7D: non-problematic trimmed; trimmed_removed=135; output=5f7d_trimmed_mhc.pdb
[SAVED] 5YXN: non-problematic trimmed; trimmed_removed=293; output=5yxn_trimmed_mhc.pdb
[SAVED] 7TLT: non-problematic trimmed; trimmed_removed=108; output=7tlt_trimmed_mhc.pdb
[SAVED] 3VFW: non-problematic trimmed; trimmed_removed=256; output=3vfw_trimmed_mhc.pdb
[MHC_MANUAL] 6D7G: moved ligand groups to chains=['D']
[SAVED] 6D7G: action=move; new_ligand_chains=['D']; moved=10; trimmed_removed=197; output=6d7g_trimmed_mhc.pdb
[MHC_MANUAL] 8FRT: moved ligand groups to chains=['B']
[SAVED] 8FRT: action=move; new_ligand_chains=['B']; moved=13; trimmed_removed=436; output=8frt_trimmed_mhc.pdb
[SAVED] 3MRI: non-problematic trimmed; trimmed_removed=116; output=3mri_trimmed_mhc.pdb
[SAVED] 2GT9: non-problematic trimmed; trimmed_removed=361; output=2gt9_trimmed_mhc.pdb
[SAVED] 6ULN: non-problematic trimmed; trimmed_removed=211; output=6uln_trimmed_mhc.pdb
[SAVED] 5BS0: non-problematic trimmed; trimmed_removed=104; output=5bs0_trimmed_mhc.pdb
[SAVED] 6PYJ: non-problematic trimmed; trimmed_removed=403; output=6pyj_trimmed_mhc.pdb
[SAVED] 1IM3: non-problematic trimmed; trimmed_removed=342; output=1im3_trimmed_mhc.pdb
[SAVED] 3I6K: non-problematic trimmed; trimmed_removed=151; output=3i6k_trimmed_mhc.pdb
[SAVED] 2H6P: non-problematic trimmed; trimmed_removed=402; output=2h6p_trimmed_mhc.pdb
[SAVED] 3VFT: non-problematic trimmed; trimmed_removed=420; output=3vft_trimmed_mhc.pdb
[SAVED] 7R7V: non-problematic trimmed; trimmed_removed=408; output=7r7v_trimmed_mhc.pdb
[SAVED] 8FJA: non-problematic trimmed; trimmed_removed=94; output=8fja_trimmed_mhc.pdb
[SAVED] 7M8U: non-problematic trimmed; trimmed_removed=405; output=7m8u_trimmed_mhc.pdb
[SAVED] 4PRP: non-problematic trimmed; trimmed_removed=123; output=4prp_trimmed_mhc.pdb
[SAVED] 7M8S: non-problematic trimmed; trimmed_removed=210; output=7m8s_trimmed_mhc.pdb
[SAVED] 3SKO: non-problematic trimmed; trimmed_removed=384; output=3sko_trimmed_mhc.pdb
[SAVED] 3DX7: non-problematic trimmed; trimmed_removed=405; output=3dx7_trimmed_mhc.pdb
[SAVED] 1XH3: non-problematic trimmed; trimmed_removed=508; output=1xh3_trimmed_mhc.pdb
[SAVED] 3X14: non-problematic trimmed; trimmed_removed=363; output=3x14_trimmed_mhc.pdb
[SAVED] 3BW9: non-problematic trimmed; trimmed_removed=415; output=3bw9_trimmed_mhc.pdb
[SAVED] 5KNM: non-problematic trimmed; trimmed_removed=97; output=5knm_trimmed_mhc.pdb
[SAVED] 7SIG: non-problematic trimmed; trimmed_removed=387; output=7sig_trimmed_mhc.pdb
[SAVED] 5C0G: non-problematic trimmed; trimmed_removed=382; output=5c0g_trimmed_mhc.pdb
[SAVED] 2YPL: non-problematic trimmed; trimmed_removed=171; output=2ypl_trimmed_mhc.pdb
[MHC_AUTO] 5U98: [274] -> chain D
[SAVED] 5U98: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=380; output=5u98_trimmed_mhc.pdb
[SAVED] 2V2W: non-problematic trimmed; trimmed_removed=486; output=2v2w_trimmed_mhc.pdb
[SAVED] 5NQK: non-problematic trimmed; trimmed_removed=95; output=5nqk_trimmed_mhc.pdb
[SAVED] 6PTB: non-problematic trimmed; trimmed_removed=269; output=6ptb_trimmed_mhc.pdb
[SAVED] 2GTZ: non-problematic trimmed; trimmed_removed=367; output=2gtz_trimmed_mhc.pdb
[SAVED] 5WXD: non-problematic trimmed; trimmed_removed=94; output=5wxd_trimmed_mhc.pdb
[SAVED] 4NNX: non-problematic trimmed; trimmed_removed=249; output=4nnx_trimmed_mhc.pdb
[SAVED] 9BLA: non-problematic trimmed; trimmed_removed=96; output=9bla_trimmed_mhc.pdb
[SAVED] 8EMI: non-problematic trimmed; trimmed_removed=455; output=8emi_trimmed_mhc.pdb
[SAVED] 5WWI: non-problematic trimmed; trimmed_removed=94; output=5wwi_trimmed_mhc.pdb
[SAVED] 7X00: non-problematic trimmed; trimmed_removed=511; output=7x00_trimmed_mhc.pdb
[SAVED] 5NHT: non-problematic trimmed; trimmed_removed=100; output=5nht_trimmed_mhc.pdb
[SAVED] 7UR1: non-problematic trimmed; trimmed_removed=103; output=7ur1_trimmed_mhc.pdb
[SAVED] 3L3G: non-problematic trimmed; trimmed_removed=341; output=3l3g_trimmed_mhc.pdb
[SAVED] 3BGM: non-problematic trimmed; trimmed_removed=372; output=3bgm_trimmed_mhc.pdb
[SAVED] 4NO2: non-problematic trimmed; trimmed_removed=277; output=4no2_trimmed_mhc.pdb
[SAVED] 6UK4: non-problematic trimmed; trimmed_removed=95; output=6uk4_trimmed_mhc.pdb
[SAVED] 7L1B: non-problematic trimmed; trimmed_removed=314; output=7l1b_trimmed_mhc.pdb
[SAVED] 4U1N: non-problematic trimmed; trimmed_removed=321; output=4u1n_trimmed_mhc.pdb
[SAVED] 1SYS: non-problematic trimmed; trimmed_removed=231; output=1sys_trimmed_mhc.pdb
[SAVED] 1EEZ: non-problematic trimmed; trimmed_removed=106; output=1eez_trimmed_mhc.pdb
[SAVED] 5C0I: non-problematic trimmed; trimmed_removed=295; output=5c0i_trimmed_mhc.pdb
[SAVED] 7N2N: non-problematic trimmed; trimmed_removed=121; output=7n2n_trimmed_mhc.pdb
[SKIPPED] 9DL1: already present in 2_trimmed_mhc
[SAVED] 3W39: non-problematic trimmed; trimmed_removed=97; output=3w39_trimmed_mhc.pdb
[SAVED] 2X4P: non-problematic trimmed; trimmed_removed=239; output=2x4p_trimmed_mhc.pdb
[SAVED] 7S8R: non-problematic trimmed; trimmed_removed=106; output=7s8r_trimmed_mhc.pdb
[SAVED] 4PRB: non-problematic trimmed; trimmed_removed=389; output=4prb_trimmed_mhc.pdb
[SAVED] 7STG: non-problematic trimmed; trimmed_removed=205; output=7stg_trimmed_mhc.pdb
